HDI rank,Country,Gender Inequality Index: Value,Gender Inequality Index: Rank,Maternal mortality ratio (deaths per 100000 live births),Adolescent birth rate (births per 1000 women ages 15â€“19),Share of seats in parliament (% held by women), secondary education (% ages 25 and older) Female, secondary education (% ages 25 and older) Male,Labour force participation rate (% ages 15 and older) Female,Labour force participation rate (% ages 15 and older) Male
1,Switzerland,0.018,3,5,2.2,39.8,96.9,97.5,61.7,72.7
2,Norway,0.016,2,2,2.3,45.0,99.1,99.3,60.3,72.0
3,Iceland,0.043,8,4,5.4,47.6,99.8,99.7,61.7,70.5
5,Australia,0.073,19,6,8.1,37.9,94.6,94.4,61.1,70.5
6,Denmark,0.013,1,4,1.9,39.7,95.1,95.2,57.7,66.7
7,Sweden,0.023,4,4,3.3,47.0,91.8,92.2,61.7,68.0
8,Ireland,0.074,21,5,5.9,27.3,88.1,86.0,56.5,68.6
9,Germany,0.073,19,7,7.5,34.8,96.1,96.5,56.8,66.0
10,Netherlands,0.025,5,5,2.8,39.1,89.8,92.7,62.4,71.3
11,Finland,0.033,6,3,4.2,46.0,99.0,98.5,56.5,64.0
12,Singapore,0.040,7,8,2.6,29.8,80.5,85.9,59.4,76.8
13,Belgium,0.048,10,5,5.3,42.9,87.2,89.7,49.8,58.8
13,New Zealand,0.088,25,9,12.6,49.2,82.0,81.8,65.1,75.3
15,Canada,0.069,17,10,7.0,34.4,100.0,100.0,60.8,69.7
17,Luxembourg,0.044,9,5,4.3,35.0,100.0,100.0,58.5,65.5
18,United Kingdom,0.098,27,7,10.5,31.1,99.8,99.8,58.0,67.1
19,Japan,0.083,22,5,2.9,14.2,95.9,92.7,53.3,71.0
19,Korea,0.067,15,11,2.2,19.0,83.1,93.1,53.4,72.4
21,United States,0.179,44,19,16.0,27.0,96.5,96.4,55.2,66.4
22,Israel,0.083,22,3,7.6,28.3,91.6,93.7,58.5,66.1
23,Malta,0.167,42,6,11.5,13.4,82.2,88.1,53.1,71.4
23,Slovenia,0.071,18,7,4.5,21.5,97.6,98.7,53.8,62.2
25,Austria,0.053,12,5,5.5,39.3,100.0,100.0,55.5,66.3
26,United Arab Emirates,0.049,11,3,3.1,50.0,82.0,85.6,46.5,88.0
27,Spain,0.057,14,4,6.3,42.3,78.5,83.2,52.7,62.4
28,France,0.083,22,8,9.5,37.8,83.5,87.9,51.9,59.7
29,Cyprus,0.123,35,6,6.8,14.3,81.1,84.8,56.6,68.8
30,Italy,0.056,13,2,4.0,35.3,78.6,86.1,39.9,57.6
31,Estonia,0.100,28,9,8.8,25.7,97.6,98.1,57.5,70.2
32,Czech Republic,0.120,34,3,9.7,22.1,99.8,99.8,51.7,68.1
33,Greece,0.119,32,3,8.5,21.7,69.9,77.8,43.3,58.1
34,Poland,0.109,31,2,9.7,27.5,86.5,90.7,49.2,65.5
35,Bahrain,0.181,46,14,8.7,18.8,79.9,83.1,42.4,83.5
35,Lithuania,0.105,30,8,10.4,27.7,95.5,97.9,57.3,67.9
35,Saudi Arabia,0.247,59,17,11.9,19.9,71.3,80.9,30.9,80.1
38,Portugal,0.067,15,8,7.4,40.0,59.7,61.9,54.0,62.2
39,Latvia,0.151,40,19,11.2,29.0,99.7,99.3,54.5,66.8
40,Croatia,0.093,26,8,8.6,31.1,97.0,100.0,45.9,58.8
42,Chile,0.187,47,13,24.1,32.7,80.3,83.5,44.2,65.5
42,Qatar,0.220,54,9,7.1,4.4,79.8,69.6,57.2,95.5
45,Slovak Republic,0.180,45,5,26.3,22.7,98.9,99.2,54.7,66.4
46,Hungary,0.221,55,12,22.1,13.1,97.6,98.8,52.1,67.2
47,Argentina,0.287,69,39,39.1,44.4,71.0,71.4,50.0,71.6
48,Turkey,0.272,65,17,16.9,17.3,56.3,75.9,31.8,69.4
49,Montenegro,0.119,32,6,10.4,24.7,92.3,99.2,47.8,62.0
50,Kuwait,0.305,74,12,5.6,1.5,60.9,55.2,47.4,83.8
51,Brunei Darussalam,0.259,61,31,10.0,9.1,70.4,71.2,54.1,72.3
52,Russian Federation,0.203,50,17,15.0,16.5,92.8,95.9,54.5,69.7
53,Romania,0.282,67,19,36.4,18.5,88.8,93.7,42.8,62.3
54,Oman,0.300,72,19,9.9,9.9,96.6,99.9,28.7,85.0
55,Bahamas,0.329,78,70,25.7,20.0,87.0,89.9,65.6,71.5
56,Kazakhstan,0.161,41,10,21.9,24.5,99.8,100.0,63.3,75.5
57,Trinidad and Tobago,0.344,81,67,38.1,32.4,84.8,80.6,46.7,68.0
58,Costa Rica,0.256,60,27,37.1,45.6,56.2,54.5,47.5,71.1
58,Uruguay,0.235,58,17,36.2,26.2,59.6,55.5,54.8,69.3
60,Belarus,0.104,29,2,11.9,34.7,97.5,99.0,57.3,71.4
61,Panama,0.392,96,52,69.9,22.5,70.2,68.7,50.4,72.6
62,Malaysia,0.228,57,29,9.3,14.9,75.0,78.4,51.2,77.6
63,Georgia,0.280,66,25,31.7,19.3,97.1,98.3,51.0,68.0
63,Mauritius,0.347,82,61,24.6,20.0,64.4,70.8,43.4,70.4
63,Serbia,0.131,36,12,14.9,39.2,88.6,95.3,46.6,62.3
66,Thailand,0.333,79,37,32.7,13.9,47.6,51.7,59.0,75.0
88,Colombia,0.424,102,83.0,59.0,19.6,58.9,56.5,52.2,78
86,Mexico,0.309,75,33,54.4,49.8,65.1,66.7,43.8,75.4